annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,1,15.657534247,1,pu,10,0.4293729651,198.81202057,-1.894325387,-2.031136685,1.2523400625,-0.990462981,-0.464593645,-0.05819137,0.7407745528
2003,2,14.98630137,2,pu,10,0.3975857585,298.42511354,-0.160279983,-0.210308034,-0.349625328,-0.781161981,0.2121890088,0.1622571005,-0.341929814
2003,2,14.57260274,2,pu,10,0.3975857585,275.07816598,-0.914679462,-0.947718521,-2.140573537,-0.990462981,0.4334648635,0.5943191145,-1.387450013
2003,2,15.745205479,1,pu,10,0.4258981843,241.59891684,-0.886402065,-1.51834556,-1.146673098,0.9907925162,1.4648299573,0.5817031359,1.0386564049
2003,2,14.575342466,2,pu,10,0.3975857585,227.12088267,1.5081714385,-1.77372081,-2.444606013,2.2907177845,1.7346083471,-0.272416959,-0.174396804
2003,1,15.654794521,1,pu,10,0.4293729651,255.00728533,-1.393449751,-0.721261227,1.2034889318,-0.990462981,-1.133907696,-1.358602712,-0.341929814
2003,1,14.402739726,2,pu,10,0.4008295464,297.74190656,1.2055448079,0.269686577,-0.316526064,-0.763837531,-1.717234593,-0.930151534,-0.790048859
2003,1,14.906849315,2,pu,10,0.4008295464,326.00822233,0.1595713716,0.3024830914,0.1938366266,0.7691895531,-0.633675431,-0.063585676,0.1798752013
2003,1,14.816438356,2,pu,10,0.4008295464,327.40279129,-0.903626789,1.0070970634,-0.024009391,0.287039182,0.6960024063,0.1676075094,2.0832215197
2003,1,14.402739726,2,pu,10,0.4008295464,270.57076633,,-0.210308034,0.9210399164,-0.560285958,-0.841652696,-1.141765078,-0.26728876
2003,2,14.657534247,2,pu,10,0.3975857585,222.42056749,0.395870491,-0.496641866,-0.663578077,0.1066376552,-0.133443165,-0.492865429,-0.249037858
2003,1,14.980821918,2,pu,10,0.4008295464,238.94113902,-0.105005145,0.0450672164,-0.994878223,0.7634401266,-0.387556756,-0.273245535,-0.09975575
2003,2,14.575342466,2,pu,10,0.2946139074,303.7860848,-0.14922731,1.0070970634,-1.2989107,0.9727411261,-0.895029869,1.2386091354,0.1616243001
2003,1,16.082191781,1,pu,10,0.3181684562,150.33297318,-1.459777262,-1.77372081,-0.034077049,-0.990462981,-0.057589381,-0.281251886,-0.341929814
2003,1,15.408219178,1,pu,10,0.3181684562,317.54535958,-0.650102945,-0.752017117,-0.316526064,-0.113511427,-1.187284869,-0.492865429,-0.435776854
2003,M,14.824657534,2,pu,10,0.2970175775,166.24704664,-2.185899344,-1.800598143,1.1174498584,-0.763837531,-0.587539105,-0.922145183,-1.126069963
2003,1,15.994520548,1,pu,10,0.3181684562,171.55009392,0.395870491,-0.210308034,0.6012555734,-0.990462981,0.9645976916,1.4574004546,2.0832215197
2003,2,15.909589041,1,pu,10,0.3155936186,230.19883345,0.395870491,0.0450672164,-0.061344719,-0.990462981,1.7037077848,-0.27341575,1.4675694646
2003,1,15.153424658,2,pu,10,0.2970175775,299.92737087,-0.886402065,0.5250618277,-0.11019585,1.4137662309,-0.680994861,1.6732831948,0.3483632954
2003,2,13.739726027,2,pu,10,0.2946139074,296.39087025,0.9520209647,0.4943059377,-0.316526064,-0.990462981,-1.187284869,-0.492865429,0.8701683107
