"id";"score"
"e12464";257,94925824
"e124657";286,74639432
"e124665";213,74752859
"e124676";208,20650883
"e124690";218,75324477
"e124705";281,86961726
"e124709";294,62302343
"e124733";225,04297224
"e012475";397,24408319
"e12477";265,29793635
"e012480";307,496178
"e124819";203,50964578
"e124832";247,70774397
"e124843";363,28072952
"e124844";237,38158538
"e124852";235,97903618
"e124858";242,39052952
"e124895";259,82039982
"e124905";221,76775715
"e12495";277,71245141
"e124956";184,28345984
"e124959";239,58197901
"e124979";209,51863027
"e124992";284,93644951
"e124996";232,58873531
"e012521";244,96003156
"e12529";233,58908949
"e1255";210,13763668
"e12567";284,41742023
"e12572";245,1237161
"e012601";276,90550592
"e12625";227,33845623
"e01264";316,94343446
"e01265";265,6526086
"e012661";250,8035382
"e12666";229,7665108
"e12670";287,75190427
"e1268";181,82855042
"e12681";265,67390417
"e12688";225,7521374
"e012699";241,67558092
"e12725";310,21569058
"e012748";158,78274475
"e01276";274,59903789
"e12761";317,6408086
"e12764";342,27356076
"e128";195,60638598
"e012811";177,94307132
"e12817";207,94356448
"e12830";301,61532564
"e012833";229,32405593
"e1284";283,32798329
"e012850";200,17856903
"e12878";218,31316605
"e12884";266,23166899
"e012901";329,749833
"e12916";198,32096695
"e12921";220,00591793
"e012924";305,91797392
"e012949";331,21487911
"e12962";305,6020372
"e012998";284,41558209
"e012999";232,10741041
"e013004";201,91830568
"e013029";247,22722606
"e013031";231,08508816
"e013047";289,79677294
"e013061";332,83890231
"e013073";216,02620029
"e01308";169,48334686
"e13100";213,27176296
"e131013";238,69428965
"e131023";269,71571524
"e13106";194,70887824
"e131090";276,93984784
"e131097";259,2625005
"e131124";229,16055073
"e131196";217,90949155
"e131213";267,79400227
"e131259";254,15353439
"e131261";251,13471807
"e131273";233,48678105
"e13129";298,72002367
"e131378";244,57792164
"e131396";280,46904071
"e013143";205,33142645
"e131460";274,37518774
"e013149";201,70539473
"e131522";258,75275161
"e131557";269,01054019
"e131592";170,85998269
"e131634";222,60765475
"e131639";218,36499276
"e131687";211,97188087
"e131729";230,89688009
"e131775";233,84051181
"e131777";268,10760768
"e131779";188,46801852
"e131788";247,0346692
"e131812";245,4210472
"e131814";282,34699688
"e131815";160,3450332
"e131826";298,27035073
"e131963";240,22219134
"e131980";221,0372964
"e132052";232,54430601
"e132063";328,59816813
"e132066";245,32855715
"e132083";385,62902655
"e132127";279,9831877
"e132147";239,78027447
"e132151";231,35659558
"e132166";287,22377394
"e132178";278,03623387
"e132185";252,66822386
"e01322";211,46935006
"e132212";267,91975826
"e13222";276,30506028
"e132232";212,03137399
"e132234";246,76612075
"e132275";295,61997032
"e132278";305,36101609
"e13234";224,13089383
"e132366";246,42624333
"e13237";343,35551062
"e013237";310,39112131
"e132385";295,38491197
"e13239";223,3460509
"e132422";229,0957225
"e132441";241,86800328
"e132455";438,67365035
"e13247";230,67634756
"e132476";242,9790048
"e132481";236,84072253
"e132543";340,98304872
"e132571";288,02932962
"e132578";259,27595034
"e132587";229,75176081
"e132607";315,81154086
"e132637";310,74113095
"e132647";271,70642588
"e13267";273,63141165
"e132674";154,89408252
"e013268";229,32275578
"e132698";322,14780476
"e132708";217,96687753
"e132711";229,9052683
"e13272";182,51364038
"e132740";247,77346885
"e13275";311,30158574
"e1328";260,83025855
"e132864";225,68466405
"e132890";246,63265352
